Identifiant ArcGIS;Nom du site;Adresse;Code Site;Arrondissement;geo_shape;geo_point_2d
171;SQUARE PAUL GRIMAULT (ex FONTAINE A MULARD);20, RUE DE LA FONTAINE A MULARD;PARIS_WIFI_1324;75013;"{""type"": ""Point"", ""coordinates"": [2.3485047627854954, 48.82302336850922]}";48.8230233685, 2.34850476279
174;SQUARE GUSTAVE MESUREUR;105, RUE JEANNE D ARC;PARIS_WIFI_1327;75013;"{""type"": ""Point"", ""coordinates"": [2.36253450180826, 48.833753641899385]}";48.8337536419, 2.36253450181
185;ESPACE ECONOMIE EMPLOI DU 14;13, RUE REMY DUMONCEL;PARIS_WIFI_1405;75014;"{""type"": ""Point"", ""coordinates"": [2.3325420480993566, 48.8296812421623]}";48.8296812422, 2.3325420481
265;SQUARE LEON SERPOLLET;25, RUE DES CLOYS;PARIS_WIFI_1812;75018;"{""type"": ""Point"", ""coordinates"": [2.339135017532291, 48.89259525004576]}";48.89259525, 2.33913501753
272;BIBLIOTHEQUE FESSART;6, RUE FESSART;PARIS_WIFI_1904;75019;"{""type"": ""Point"", ""coordinates"": [2.3881652523243333, 48.876266177023005]}";48.876266177, 2.38816525232
233;MAISON DES ASSOCIATIONS DU 16;16, AVENUE RENE BOYLESVE;PARIS_WIFI_1609;75016;"{""type"": ""Point"", ""coordinates"": [2.2841715518333605, 48.85653453107328]}";48.8565345311, 2.28417155183
273;BIBLIOTHEQUE CLAUDE LEVIS STRAUSS (EX : FLANDRE);35, AVENUE DE FLANDRE;PARIS_WIFI_1905;75019;"{""type"": ""Point"", ""coordinates"": [2.37137449359386, 48.8866810859574]}";48.886681086, 2.37137449359
294;BIBLIOTHEQUE OSCAR WILDE (EX : SAINT FARGEAU);12, RUE DU TELEGRAPHE;PARIS_WIFI_2004;75020;"{""type"": ""Point"", ""coordinates"": [2.399780548393301, 48.87206110131366]}";48.8720611013, 2.39978054839
216;PARC ANDRE CITROEN - ORANGERIE;5, RUE DE LA MONTAGNE DE LA FAGE;PARIS_WIFI_1518;75015;"{""type"": ""Point"", ""coordinates"": [2.276409545795725, 48.840048744229335]}";48.8400487442, 2.2764095458
241;BIBLIOTHEQUE BROCHANT (COLETTE VIVIER);6, RUE FOURNEYRON;PARIS_WIFI_1702;75017;"{""type"": ""Point"", ""coordinates"": [2.3195717047729376, 48.88979601929147]}";48.8897960193, 2.31957170477
247;PARC MARTIN LUTHER KING (CLICHY - BATIGNOLLES);147 RUE CARDINET;PARIS_WIFI_1708;75017;"{""type"": ""Point"", ""coordinates"": [2.313986827220723, 48.891528268625386]}";48.8915282686, 2.31398682722
208;CENTRE SPORTIF SUZANNE LENGLEN (STADE DE RUDBY);2, RUE LOUIS ARMAND;PARIS_WIFI_1509;75015;"{""type"": ""Point"", ""coordinates"": [2.2702527864538915, 48.83038671812223]}";48.8303867181, 2.27025278645
282;PARC DE LA BUTTE DU CHAPEAU ROUGE;5, RUE ALPHONSE AULARD;PARIS_WIFI_1914;75019;"{""type"": ""Point"", ""coordinates"": [2.3987882461017795, 48.881176399524136]}";48.8811763995, 2.3987882461
230;JARDIN PORTE DE SAINT CLOUD;20, AVENUE FERDINAND BUISSON;PARIS_WIFI_1606;75016;"{""type"": ""Point"", ""coordinates"": [2.2541581792069985, 48.83702984385546]}";48.8370298439, 2.25415817921
256;BIBLIOTHEQUE MAURICE GENEVOIX;19, RUE TRISTAN TZARA;PARIS_WIFI_1803;75018;"{""type"": ""Point"", ""coordinates"": [2.3637919535714276, 48.89498813043983]}";48.8949881304, 2.36379195357
261;MAISON DE L'EMPLOI DU 18;164, RUE ORDENER;PARIS_WIFI_1808;75018;"{""type"": ""Point"", ""coordinates"": [2.335507337275558, 48.893829676215425]}";48.8938296762, 2.33550733728
209;JARDIN ATLANTIQUE;5, PLACE DES CINQ MARTYRS DU LYCÃ‰E BUFFON;PARIS_WIFI_1510;75015;"{""type"": ""Point"", ""coordinates"": [2.319325553021533, 48.84032953706638]}";48.8403295371, 2.31932555302
